,Station,River,Location,Nominal_Easting,Nominal_Northing,Easting,Northing,Ceasting,Cnorthing,Grid,DTM_Area,AREA/DPLBAR,Assessment Level,ALTBAR,ASPBAR,ASPVAR,BFIHOST,DPLBAR,DPSBAR,DPSBAR (m/m),Assessment Level,FARL,FPEXT,LDP,PROPWET,RMED1H,RMED1D,RMED2D,SAAR,SAAR4170,SPRHOST,Assessment Level,URBCONC1990,URBEXT1990,URBLOC1990,URBCONC2000,URBEXT2000,Assessment Level,URBLOC2000,suitQMED,suitPool,QMED,N_AM,hyd_area,Map,Ireland,SCORE,prop.summer,Tp
532,47021,Kensey,Launceston Newport,2330,851,233000,85150,226707,85525,GB,34.83,4.181272509,3,166,64,0.23,0.584,8.33,101.3,0.1013,3,0.998,0.0218,16.03,0.5,12.4,41.4,56.7,1298,1273,32.41,2,0.719,0.0209,0.355,0.788,0.0174,0,0.258,YES,YES,13.62,17,47,9,FALSE,8,0.058823529,3.034308607
533,47022,Tory Brook,Newnham Park,2551,576,255150,57700,256487,61045,GB,13.43,2.763374486,3,180,208,0.46,0.431,4.86,106,0.106,3,0.942,0.0232,9.33,0.48,12.5,46.2,59.5,1403,1454,44.18,3,0.31,0.0122,1.124,0.586,0.0141,0,1.255,YES,YES,6.176,25,47,9,FALSE,9,0.16,2.332803814
534,47023,Tamar,Tamarstone Bridge,2283,1055,228350,105500,228299,110991,GB,49.06,5.731308411,2,158,187,0.2,0.396,8.56,54.2,0.0542,2,0.917,0.0519,16.55,0.5,12.5,38.7,50.6,1217,1254,42.01,3,-9999,0.003,-9999,-9999,0.0015,0,-9999,YES,YES,18.596,6,47,9,FALSE,7,0.5,3.898222608
535,47024,Tavy,Tavistock Abbey Bridge,2483,745,248300,74500,253095,80078,GB,95.63,9.133715377,0,325,245,0.28,0.516,10.47,104.6,0.1046,3,0.998,0.0315,21.49,0.48,13.1,53.8,71.4,1666,1665,33.28,2,-9999,0.0019,-9999,-9999,0.0036,0,-9999,YES,YES,81.841,25,47,9,FALSE,5,0.08,3.839877495
537,48001,Fowey,Trekeivesteps,2227,698,222750,69850,220759,74787,GB,36.69,5.332848837,2,269,175,0.16,0.444,6.88,92.3,0.0923,2,0.938,0.0431,15.73,0.47,12.8,48.9,68.1,1637,1784,40.65,3,-9999,7.00E-04,-9999,-9999,0.0026,0,-9999,YES,YES,17.1945,50,48,9,FALSE,7,0.16,3.175553944
538,48003,Fal,Tregony,1921,447,192100,44750,194929,54536,GB,89.03,6.395833333,2,126,242,0.14,0.546,13.92,78.8,0.0788,2,0.983,0.0656,27.77,0.45,11.8,42.4,56.7,1211,1231,34.6,2,0.537,0.0175,1.019,0.697,0.0173,0,0.991,YES,YES,11.0415,56,48,9,FALSE,6,0.071428571,5.024747038
539,48004,Warleggan,Trengoffe,2159,673,215900,67350,215277,71462,GB,25.26,4.140983607,3,219,206,0.2,0.499,6.1,93.8,0.0938,2,0.978,0.035,12.54,0.45,12.2,44.2,63.4,1445,1515,35.7,3,-9999,0.0014,-9999,-9999,0.0025,0,-9999,YES,YES,9.9565,50,48,9,FALSE,8,0.14,3.076626127
540,48005,Kenwyn,Truro,1819,450,181950,45000,178563,46742,GB,19.02,3.946058091,3,83,114,0.19,0.601,4.82,90.4,0.0904,2,0.988,0.0091,8.47,0.42,11,36,49.2,1100,1107,32.62,2,0.842,0.0282,0.474,0.938,0.0321,0,0.498,YES,NO,5.666,51,48,9,FALSE,7,0.058823529,2.664064601
541,48006,Cober,Helston County Bridge,1655,273,165550,27350,167316,32421,GB,40.3,5.288713911,2,138,189,0.2,0.672,7.62,74.7,0.0747,2,0.979,0.0334,13.49,0.44,11.5,41.7,53.6,1209,1207,17.13,1,0.751,0.0172,0.316,0.799,0.0182,0,0.333,YES,NO,5.519,37,48,9,FALSE,5,0.054054054,3.644745272
542,48007,Kennal,Ponsanooth,1762,376,176250,37650,172168,36764,GB,26.89,4.221350078,3,162,77,0.24,0.736,6.37,65.7,0.0657,2,0.867,0.0258,11.3,0.44,11.6,43.7,57.1,1294,1293,8.63,0,0.602,0.0142,0.639,0.703,0.0106,0,0.567,YES,YES,4.179,51,48,9,FALSE,5,0.098039216,3.426681123
543,48009,St Neot,Craigshill Wood,2184,659,218400,66000,218188,71256,GB,22.97,3.172651934,3,230,187,0.32,0.463,7.24,78.8,0.0788,2,0.982,0.0226,13.43,0.45,12.2,45,64,1511,1612,39.93,3,-9999,0.0034,-9999,-9999,0.0023,0,-9999,YES,YES,8.465,12,48,9,FALSE,8,0.166666667,3.556438264
545,48011,Fowey,Restormel,2097,624,209800,62500,216554,69917,GB,167.2,9.720930233,0,196,191,0.16,0.522,17.2,113.3,0.1133,3,0.985,0.0349,37.59,0.46,12.1,44.3,62.3,1435,1513,35.26,3,-9999,0.0022,-9999,-9999,0.0025,0,-9999,YES,YES,50.945,22,48,9,FALSE,6,0.045454545,5.292532877
546,48012,Fal,Trenowth,1937,506,193750,50600,195468,56651,GB,65.07,6.708247423,2,149,252,0.19,0.523,9.7,72.5,0.0725,2,0.979,0.0712,20.64,0.45,11.9,43.4,58.3,1248,1262,35.49,3,0.515,0.0202,0.892,0.706,0.0203,0,0.832,YES,YES,9.965,21,48,9,FALSE,7,0.095238095,4.104709164
547,48801,Cober,Trenear,1675,311,167600,31100,168392,33701,GB,26.5,6.134259259,2,162,186,0.17,0.671,4.32,65,0.065,2,0.976,0.0348,8.22,0.44,11.6,42.4,55.1,1266,1260,14.88,1,-9999,0.0035,-9999,-9999,0.004,0,-9999,YES,NO,2.34,32,48,9,FALSE,5,0.125,2.820769835
548,48803,Carnon,Bissoe,1774,412,177450,41250,173849,42260,GB,33.62,6.440613027,2,103,90,0.23,0.623,5.22,84.6,0.0846,2,0.984,0.0214,9.42,0.42,11.2,39.3,52.1,1161,1166,27.03,2,0.55,0.0341,1.007,0.682,0.0258,0,1.023,YES,NO,4.672,25,48,9,FALSE,6,0.08,2.793074981
